role,skills
Data Scientist,"Python,SQL,Machine Learning,Statistics,Pandas,Data Analysis"
DevOps Engineer,"AWS,Docker,Kubernetes,CI/CD,Linux,Automation"
Backend Developer,"Java,Python,SQL,APIs,Data Structures,Git"
Cloud Architect,"AWS,Cloud Computing,Docker,Automation,Networking,Security"
Frontend Developer,"HTML,CSS,JavaScript,React,Git,Web Design"
Machine Learning Engineer,"Python,Machine Learning,TensorFlow,Statistics,Data Structures,SQL"
System Administrator,"Linux,Networking,Automation,Security,Git,Cloud Computing"
Full Stack Developer,"JavaScript,Python,SQL,React,APIs,Git"
Data Engineer,"Python,SQL,Data Structures,Cloud Computing,Automation,Pandas"
Mobile Developer,"Java,APIs,Git,Data Structures,Mobile Design,SQL"
